employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,manager_id,department_id
100,Sandra,Taylor,sandra.taylor.100@success.com,713.803.5583,17-06-87,4,32800,0,9
101,David,Perez,david.perez.101@success.com,469.619.9782,21-09-89,5,21200,100,9
102,James,Johnson,james.johnson.102@success.com,415.228.3484,13-01-93,5,17700,100,9
103,Kaito,Inoue,kaito.inoue.103@success.com,+52 444 109 1579,03-01-90,9,8600,102,6
104,Daniela,Diaz,daniela.diaz.104@success.com,+52 444 152 8478,21-05-91,9,6800,103,6
105,Hiroshi,Kimura,hiroshi.kimura.105@success.com,+52 444 913 1331,25-06-97,9,7900,103,6
106,Manuel,Perez,manuel.perez.106@success.com,+52 444 864 4558,05-02-98,9,8300,103,6
107,Emiliano,Rodriguez,emiliano.rodriguez.107@success.com,+52 444 601 8335,07-02-99,9,8500,103,6
108,Mia,Wright,mia.wright.108@success.com,713.401.6538,17-08-94,7,14200,101,10
109,Robert,Martinez,robert.martinez.109@success.com,713.409.8499,16-08-94,6,8400,108,10
110,James,Garcia,james.garcia.110@success.com,415.685.9703,28-09-97,6,6600,108,10
111,Joseph,White,joseph.white.111@success.com,206.613.3279,30-09-97,6,4400,108,10
112,Donna,Johnson,donna.johnson.112@success.com,212.276.7672,07-03-98,6,9000,108,10
113,Christopher,Gonzalez,christopher.gonzalez.113@success.com,650.117.4314,07-12-99,6,7800,108,10
114,Joseph,Davis,joseph.davis.114@success.com,253.551.3364,07-12-94,14,8100,100,3
115,Mary,Lee,mary.lee.115@success.com,212.671.4434,18-05-95,13,4800,114,3
116,Mariana,Morales,mariana.morales.116@success.com,253.397.4949,24-12-97,13,3800,114,3
117,Donna,Martinez,donna.martinez.117@success.com,713.322.1475,24-07-97,13,3500,114,3
118,Robert,White,robert.white.118@success.com,360.329.2988,15-11-98,13,2600,114,3
119,Mark,Jackson,mark.jackson.119@success.com,253.336.3768,10-08-99,13,3600,114,3
120,Mary,Jones,mary.jones.120@success.com,253.568.1613,18-07-96,19,6200,100,5
121,Sandra,Taylor,sandra.taylor.121@success.com,360.931.4492,10-04-97,19,7200,100,5
122,Donald,Martin,donald.martin.122@success.com,650.511.9985,01-05-95,19,7800,100,5
123,Betty,Johnson,betty.johnson.123@success.com,650.313.4831,10-10-97,19,7400,100,5
126,Mark,Hernandez,mark.hernandez.126@success.com,415.547.8282,28-09-98,18,2000,120,5
145,Grace,Hall,grace.hall.145@success.com,+44 1865 860896,01-10-96,15,11100,100,8
146,Harry,Clarke,harry.clarke.146@success.com,+44 1865 532064,05-01-97,15,18000,100,8
176,William,Hall,william.hall.176@success.com,+44 1865 107673,24-03-98,16,8000,100,8
177,Lily,Davies,lily.davies.177@success.com,+44 1865 770107,23-04-98,16,7900,100,8
178,Olivia,Green,olivia.green.178@success.com,+44 1865 181853,24-05-99,16,7200,100,8
179,Ava,Smith,ava.smith.179@success.com,+44 1865 496028,04-01-00,16,8600,100,8
192,Susan,White,susan.white.192@success.com,650.608.7459,04-02-96,17,4200,123,5
193,Robert,Jackson,robert.jackson.193@success.com,713.246.7948,03-03-97,17,3600,123,5
200,Daniel,Lee,daniel.lee.200@success.com,650.822.3071,17-09-87,3,4300,101,1
201,Daiki,Saito,daiki.saito.201@success.com,+81 45 2391 2700,17-02-96,10,11000,100,2
202,Grace,Harris,grace.harris.202@success.com,+81 45 9272 2290,17-08-97,11,5200,201,2
203,Ben,Koch,ben.koch.203@success.com,+49 89 692675,07-06-94,8,5400,101,4
204,Hannah,Weber,hannah.weber.204@success.com,+49 89 118447,07-06-94,12,6000,101,7
205,Anthony,Davis,anthony.davis.205@success.com,360.586.4338,07-06-94,2,13200,101,11
206,Andrew,Garcia,andrew.garcia.206@success.com,650.921.8330,07-06-94,1,8400,205,11
207,Robert,Gonzalez,robert.gonzalez.207@success.com,312.854.2679,25-11-03,9,8400,103,6
208,Oliver,Jones,oliver.jones.208@success.com,-9588,23-06-12,11,6800,201,2
209,Niklas,Meyer,niklas.meyer.209@success.com,+44 20 6514 2674,28-02-04,16,7700,146,8
210,Noah,Schroeder,noah.schroeder.210@success.com,-3193,24-02-13,11,8000,201,2
211,Ana,Gonzalez,ana.gonzalez.211@success.com,415.181.4814,12-07-04,9,4300,103,6
212,Margaret,Garcia,margaret.garcia.212@success.com,713.373.2169,04-09-07,9,5000,103,6
213,Mark,Martinez,mark.martinez.213@success.com,469.886.1916,10-04-10,18,3700,120,5
214,Joseph,Johnson,joseph.johnson.214@success.com,+44 20 6155 4483,24-05-22,15,19100,146,8
215,Alfie,Evans,alfie.evans.215@success.com,206.369.8019,30-11-17,6,4900,108,10
216,Mariana,Ramirez,mariana.ramirez.216@success.com,312.742.3621,08-12-18,13,2800,114,3
217,Christopher,Martin,christopher.martin.217@success.com,713.838.2876,20-12-11,18,2800,122,5
218,Anna,Schulz,anna.schulz.218@success.com,-4008,21-05-13,11,8800,201,2
219,Kevin,Williams,kevin.williams.219@success.com,206.431.9005,15-11-00,13,4800,114,3
220,Sarah,Perez,sarah.perez.220@success.com,206.180.2403,19-10-21,6,5700,108,10
221,Michael,Davis,michael.davis.221@success.com,415.640.7932,02-07-09,2,13300,205,11
222,Theo,Brown,theo.brown.222@success.com,+44 20 2982 5061,29-01-10,16,8200,145,8
223,Steven,Thompson,steven.thompson.223@success.com,713.160.4750,09-01-03,18,2700,120,5
224,Patricia,Moore,patricia.moore.224@success.com,312.652.3167,15-03-21,4,24800,100,9
225,Daniel,Anderson,daniel.anderson.225@success.com,+44 20 7939 7735,12-12-20,16,6600,214,8
226,Ana,Diaz,ana.diaz.226@success.com,469.982.2790,25-02-11,3,3200,200,1
227,Karen,Rodriguez,karen.rodriguez.227@success.com,650.927.2604,08-04-02,13,3300,114,3
228,Richard,Gonzalez,richard.gonzalez.228@success.com,312.985.7570,18-08-02,1,5000,205,11
229,Santiago,Jimenez,santiago.jimenez.229@success.com,650.813.8973,11-12-06,18,4400,121,5
230,Andrew,Miller,andrew.miller.230@success.com,212.151.8811,22-07-22,18,3600,121,5
231,Mary,Garcia,mary.garcia.231@success.com,212.791.4853,10-02-18,3,5600,200,1
232,Yuto,Yamada,yuto.yamada.232@success.com,713.697.9565,11-03-14,6,4400,108,10
233,Donna,Lee,donna.lee.233@success.com,415.568.6180,03-04-03,13,3700,114,3
234,Susan,Gonzalez,susan.gonzalez.234@success.com,415.235.6718,01-02-03,9,4400,103,6
235,Kenta,Yamamoto,kenta.yamamoto.235@success.com,212.783.5905,24-08-04,13,4300,114,3
236,Niklas,Braun,niklas.braun.236@success.com,+44 20 5616 4450,19-05-15,8,7700,203,4
237,Mark,Perez,mark.perez.237@success.com,+49 89 196781,31-12-18,12,7500,204,7
238,Donald,Garcia,donald.garcia.238@success.com,312.859.8239,09-03-19,3,5300,200,1
239,Michael,Smith,michael.smith.239@success.com,-4274,16-11-01,11,4700,201,2
240,Lisa,Taylor,lisa.taylor.240@success.com,713.355.2684,12-11-15,17,2600,123,5
241,Michelle,Rodriguez,michelle.rodriguez.241@success.com,650.125.3938,25-11-14,1,5300,221,11
242,Patricia,Davis,patricia.davis.242@success.com,+44 20 2771 7267,26-09-01,16,7600,146,8
243,Jessica,Gonzalez,jessica.gonzalez.243@success.com,+44 20 1387 4164,15-11-17,8,5700,203,4
244,Sarah,Anderson,sarah.anderson.244@success.com,206.509.9785,08-11-14,19,7800,120,5
245,Paul,Hofmann,paul.hofmann.245@success.com,-9244,04-07-15,11,8800,201,2
246,Elizabeth,Jones,elizabeth.jones.246@success.com,212.825.8144,28-01-00,18,4700,244,5
247,Antonio,Reyes,antonio.reyes.247@success.com,415.541.2146,23-10-14,6,7800,108,10
248,Joshua,Miller,joshua.miller.248@success.com,+49 89 424308,27-04-18,12,8800,204,7
249,Mary,Anderson,mary.anderson.249@success.com,713.278.5930,20-03-18,18,3300,244,5
250,Paul,Hernandez,paul.hernandez.250@success.com,+44 20 6279 8618,26-10-19,16,10700,146,8
251,Finn,Becker,finn.becker.251@success.com,+49 89 790855,21-10-03,12,9300,204,7
252,Jessica,Miller,jessica.miller.252@success.com,713.417.4680,06-12-08,9,4600,103,6
253,James,Hernandez,james.hernandez.253@success.com,+44 20 8461 7790,20-09-08,8,7100,203,4
254,Elias,Zimmermann,elias.zimmermann.254@success.com,469.981.2746,26-01-19,9,4900,103,6
255,Olivia,Clarke,olivia.clarke.255@success.com,312.920.8612,29-10-23,2,10100,221,11
256,Karen,Thompson,karen.thompson.256@success.com,469.661.8305,20-02-07,1,7700,255,11
257,Sofia,Schwarz,sofia.schwarz.257@success.com,469.633.8939,24-09-10,5,27600,101,9
258,Barbara,Lopez,barbara.lopez.258@success.com,312.254.4788,07-03-17,18,3000,121,5
259,William,Martin,william.martin.259@success.com,+44 20 7812 2020,11-04-09,16,8400,146,8
260,Sarah,Davis,sarah.davis.260@success.com,650.588.1096,12-10-15,17,2600,122,5
261,Kimberly,Davis,kimberly.davis.261@success.com,+44 20 9947 4613,25-11-21,16,8500,145,8
262,Jessica,Lopez,jessica.lopez.262@success.com,312.960.8657,22-09-05,18,4000,244,5
263,Lena,Richter,lena.richter.263@success.com,212.758.8022,01-02-06,9,7600,103,6
264,Amelia,Harris,amelia.harris.264@success.com,+44 20 7211 5558,28-11-18,8,5100,203,4
265,Jose,Moreno,jose.moreno.265@success.com,+44 20 2124 1659,23-05-01,16,6300,145,8
266,Paul,Taylor,paul.taylor.266@success.com,713.217.4571,10-11-20,14,9100,114,3
267,Margaret,Lee,margaret.lee.267@success.com,+44 20 3683 6096,06-11-04,16,10500,214,8
